2024/09/29,12:03:38,40.00
2024/09/29,12:05:38,40.25
2024/09/29,12:07:39,41.25
2024/09/29,12:09:40,40.75
2024/09/29,12:11:41,39.50,
2024/09/29,12:13:42,39.75,
2024/09/29,12:15:43,41.25,
2024/09/29,12:17:44,41.50,
2024/09/29,12:19:44,44.00,
2024/09/29,12:21:45,45.75,
2024/09/29,12:23:46,48.50,
2024/09/29,12:25:47,47.00,
2024/09/29,12:27:48,45.50,
2024/09/29,12:29:49,45.75,
2024/09/29,12:31:50,45.75,
2024/09/29,12:33:51,45.50,
2024/09/29,12:35:51,44.50,
2024/09/29,12:37:52,43.25,
2024/09/29,12:39:53,42.75,
2024/09/29,12:41:54,42.25,
2024/09/29,12:43:55,43.00,
2024/09/29,12:45:56,44.50,
2024/09/29,12:47:57,44.25,
2024/09/29,12:49:57,45.00,
2024/09/29,12:51:58,43.25,
2024/09/29,12:53:59,45.25,
2024/09/29,12:56:00,47.75,
2024/09/29,12:58:01,47.25,
2024/09/29,13:00:02,47.75,
2024/09/29,13:02:03,46.50,
2024/09/29,13:04:04,46.25,
2024/09/29,13:06:04,46.00,
2024/09/29,13:08:05,45.00,
2024/09/29,13:10:06,45.75,
2024/09/29,13:12:07,46.50,
2024/09/29,13:14:08,46.50,
2024/09/29,13:16:09,47.75,
2024/09/29,13:18:10,46.25,
2024/09/29,13:20:10,46.00,
2024/09/29,13:22:11,45.75,
2024/09/29,13:24:12,46.75,
2024/09/29,13:26:13,47.00,
2024/09/29,13:28:14,47.00,
2024/09/29,13:30:15,47.50,
2024/09/29,13:32:16,47.50,
2024/09/29,13:34:16,47.00,
2024/09/29,13:36:17,48.25,
2024/09/29,13:38:18,47.75,
2024/09/29,13:40:19,47.00,
2024/09/29,13:42:20,46.25,
2024/09/29,13:44:21,44.75,
2024/09/29,13:46:22,45.25,
2024/09/29,13:48:23,46.50,
2024/09/29,13:50:23,45.50,
2024/09/29,13:52:24,46.75,
2024/09/29,13:54:25,46.25,
2024/09/29,13:56:26,46.50,
2024/09/29,13:58:27,47.00,
2024/09/29,14:00:28,47.00,
2024/09/29,14:02:29,46.25,
2024/09/29,14:04:29,46.75,
2024/09/29,14:06:30,46.00,
2024/09/29,14:08:31,45.25,
2024/09/29,14:10:32,45.75,
2024/09/29,14:12:33,45.50,
2024/09/29,14:14:34,46.00,
2024/09/29,14:16:35,45.75,
2024/09/29,14:18:35,44.75,
2024/09/29,14:20:36,44.25,
2024/09/29,14:22:37,44.00,
2024/09/29,14:24:38,44.25,
2024/09/29,14:26:39,44.00,
2024/09/29,14:28:40,45.25,
2024/09/29,14:30:41,44.50,
2024/09/29,14:32:42,45.00,
2024/09/29,14:34:42,44.75,
2024/09/29,14:36:43,45.00,
2024/09/29,14:38:44,44.50,
2024/09/29,14:40:45,44.75,
2024/09/29,14:42:46,45.00,
2024/09/29,14:44:47,44.75,
2024/09/29,14:46:48,44.50,
2024/09/29,14:48:48,44.25,
2024/09/29,14:50:49,45.00,
2024/09/29,14:52:50,44.75,
2024/09/29,14:54:51,43.75,
2024/09/29,14:56:52,44.00,
2024/09/29,14:58:53,44.25,
2024/09/29,15:00:54,44.00,
2024/09/29,15:02:54,42.75,
2024/09/29,15:04:55,44.00,
2024/09/29,15:06:56,44.50,
2024/09/29,15:08:57,44.00,
2024/09/29,15:10:58,44.25,
2024/09/29,15:12:59,44.25,
2024/09/29,15:15:00,44.75,
2024/09/29,15:17:01,44.50,
2024/09/29,15:19:01,43.50,
2024/09/29,15:21:02,43.50,
2024/09/29,15:23:03,43.25,
2024/09/29,15:25:04,43.25,
2024/09/29,15:27:05,43.25,
2024/09/29,15:29:06,43.00,
2024/09/29,15:31:07,43.75,
2024/09/29,15:33:08,45.50,
2024/09/29,15:35:08,44.75,
2024/09/29,15:37:09,44.75,
2024/09/29,15:39:10,45.50,
2024/09/29,15:41:11,45.75,
2024/09/29,15:43:12,44.75,
2024/09/29,15:45:13,43.75,
2024/09/29,15:47:14,43.25,
2024/09/29,15:49:15,44.75,
2024/09/29,15:51:16,44.75,
2024/09/29,15:53:16,44.50,
2024/09/29,15:55:17,43.75,
2024/09/29,15:57:18,43.75,
2024/09/29,15:59:19,43.25,
2024/09/29,16:01:20,42.75,
2024/09/29,16:03:21,44.00,
2024/09/29,16:05:22,44.25,
2024/09/29,16:07:23,43.25,
2024/09/29,16:09:24,43.75,
2024/09/29,16:11:24,43.25,
2024/09/29,16:13:25,42.75,
2024/09/29,16:15:26,43.00,
2024/09/29,16:17:27,42.00,
2024/09/29,16:19:28,42.75,
2024/09/29,16:21:29,42.75,
2024/09/29,16:23:30,42.25,
2024/09/29,16:25:31,43.25,
2024/09/29,16:27:32,43.00,
2024/09/29,16:29:32,42.75,
2024/09/29,16:31:33,42.75,
2024/09/29,16:33:34,42.75,
2024/09/29,16:35:35,42.50,
2024/09/29,16:37:36,41.75,
2024/09/29,16:39:37,42.00,
2024/09/29,16:41:38,42.00,
2024/09/29,16:43:39,42.50,
2024/09/29,16:45:40,41.25,
2024/09/29,16:47:40,41.00,
2024/09/29,16:49:41,42.00,
2024/09/29,16:51:42,41.75,
2024/09/29,16:53:43,42.75,
2024/09/29,16:55:44,42.25,
2024/09/29,16:57:45,41.25,
2024/09/29,16:59:46,41.25,
2024/09/29,17:01:47,40.25,
2024/09/29,17:03:48,40.25,
2024/09/29,17:05:48,40.00,
2024/09/29,17:07:49,39.00,
2024/09/29,17:09:50,39.50,
2024/09/29,17:11:51,40.25,
2024/09/29,17:13:52,41.00,
2024/09/29,17:15:53,40.75,
2024/09/29,17:17:54,40.50,
2024/09/29,17:19:55,39.75,
2024/09/29,17:21:55,39.25,
2024/09/29,17:23:56,39.75,
2024/09/29,17:25:57,39.00,
2024/09/29,17:27:58,37.50,
2024/09/29,17:29:59,36.75,
2024/09/29,17:32:00,36.25,
2024/09/29,17:34:01,35.75,
2024/09/29,17:36:02,36.00,
2024/09/29,17:38:02,35.75,
2024/09/29,17:40:03,36.00,
2024/09/29,17:42:04,35.75,
2024/09/29,17:44:05,35.50,
2024/09/29,17:46:06,35.75,
2024/09/29,17:48:07,35.50,
2024/09/29,17:50:08,35.75,
2024/09/29,17:52:08,35.00,
2024/09/29,17:54:09,35.50,
2024/09/29,17:56:10,35.75,
2024/09/29,17:58:11,35.50,
2024/09/29,18:00:12,35.50,
2024/09/29,18:02:13,35.50,
2024/09/29,18:04:14,35.25,
2024/09/29,18:06:14,35.25,
2024/09/29,18:08:15,35.25,
2024/09/29,18:10:16,35.50,
2024/09/29,18:12:17,35.00,
2024/09/29,18:14:18,36.00,
2024/09/29,18:16:19,35.50,
2024/09/29,18:18:19,35.75,
2024/09/29,18:20:20,35.50,
2024/09/29,18:22:21,35.75,
2024/09/29,18:24:22,35.25,
2024/09/29,18:26:23,35.50,
2024/09/29,18:28:24,35.25,
2024/09/29,18:30:25,35.00,
2024/09/29,18:32:25,34.75,
2024/09/29,18:34:26,35.25,
2024/09/29,18:36:27,34.50,
2024/09/29,18:38:28,35.00,
2024/09/29,18:40:29,34.50,
2024/09/29,18:42:30,34.75,
2024/09/29,18:44:31,34.25,
2024/09/29,18:46:31,34.50,
2024/09/29,18:48:32,34.50,
2024/09/29,18:50:33,34.50,
2024/09/29,18:52:34,34.25
2024/09/29,18:54:35,34.25
2024/09/29,18:56:36,33.75
2024/09/29,18:58:37,33.75
2024/09/29,19:00:37,34.00
