Date;Hr;TmaxC;TminC;ddd;ffkmh;Nt;Viskm
01/01/2015 00:00;14;NA;NA;N;7,4;1;10
01/01/2015 03:00;29;NA;NA;N;11,1;1;10
01/01/2015 06:00;19;NA;13,6;NNE;14,8;3;10
01/01/2015 09:00;12;NA;NA;E;25,9;7;10
01/01/2015 12:00;11;NA;NA;E;18,5;7;10
01/01/2015 15:00;10;NA;NA;NE;18,5;5;8
01/01/2015 18:00;15;30,4;NA;NE;11,1;2;6
01/01/2015 21:00;20;NA;NA;NE;11,1;2;8
02/01/2015 00:00;21;NA;NA;E;11,1;1;8
02/01/2015 03:00;21;NA;NA;NE;18,5;1;8
02/01/2015 06:00;28;NA;16;NE;14,8;3;8
02/01/2015 09:00;14;NA;NA;E;29,7;3;6
02/01/2015 12:00;8;NA;NA;E;22,2;3;6
02/01/2015 15:00;7;NA;NA;E;22,2;6;6
02/01/2015 18:00;11;30;NA;ENE;14,8;5;6
02/01/2015 21:00;16;NA;NA;NNE;11,1;7;8
03/01/2015 00:00;16;NA;NA;N;11,1;3;8
03/01/2015 03:00;19;NA;NA;NNE;11,1;2;8
03/01/2015 06:00;19;NA;15,4;ENE;14,8;3;5
03/01/2015 09:00;11;NA;NA;E;25,9;3;3
03/01/2015 12:00;11;NA;NA;E;29,7;3;3
03/01/2015 15:00;11;NA;NA;ENE;22,2;3;4,5
03/01/2015 18:00;14;27,8;NA;NE;14,8;3;4,5
03/01/2015 21:00;17;NA;NA;NE;11,1;3;6
04/01/2015 00:00;18;NA;NA;ENE;14,8;2;6
04/01/2015 03:00;26;NA;NA;E;18,5;2;5
04/01/2015 06:00;22;NA;16,2;E;14,8;5;3
04/01/2015 09:00;15;NA;NA;E;29,7;5;1,8
04/01/2015 12:00;17;NA;NA;E;25,9;5;2,5
04/01/2015 15:00;15;NA;NA;ENE;18,5;6;1,8
04/01/2015 18:00;17;26,6;NA;ENE;14,8;6;1,8
04/01/2015 21:00;24;NA;NA;NE;11,1;5;1,8
05/01/2015 00:00;25;NA;NA;NE;14,8;5;1,8
05/01/2015 03:00;25;NA;NA;NE;11,1;5;1,8
05/01/2015 06:00;31;NA;14,3;NE;11,1;5;2
05/01/2015 09:00;21;NA;NA;E;29,7;4;3
05/01/2015 12:00;13;NA;NA;E;22,2;5;4
05/01/2015 15:00;9;NA;NA;E;22,2;5;4,5
05/01/2015 18:00;15;28,4;NA;NE;7,4;2;4,5
05/01/2015 21:00;19;NA;NA;NNE;11,1;3;7
06/01/2015 00:00;25;NA;NA;NE;11,1;3;7
06/01/2015 03:00;25;NA;NA;E;14,8;2;7
06/01/2015 06:00;27;NA;14;NE;11,1;2;7
06/01/2015 09:00;19;NA;NA;E;29,7;2;6
06/01/2015 12:00;15;NA;NA;E;22,2;2;3,5
06/01/2015 15:00;11;NA;NA;E;25,9;3;6
06/01/2015 18:00;19;27,9;NA;NE;11,1;5;6
06/01/2015 21:00;22;NA;NA;NE;11,1;5;6
07/01/2015 00:00;27;NA;NA;NE;11,1;5;8
07/01/2015 03:00;30;NA;NA;NE;11,1;5;8
07/01/2015 06:00;26;NA;14,4;E;18,5;5;6
07/01/2015 09:00;18;NA;NA;E;33,4;2;6
07/01/2015 12:00;13;NA;NA;E;29,7;3;6
07/01/2015 15:00;12;NA;NA;E;22,2;3;6
07/01/2015 18:00;19;28,5;NA;ENE;11,1;3;6
07/01/2015 21:00;28;NA;NA;ENE;14,8;3;6
08/01/2015 00:00;24;NA;NA;E;18,5;3;6
08/01/2015 03:00;28;NA;NA;NE;14,8;3;6
08/01/2015 06:00;27;NA;17,1;NE;14,8;3;4,5
08/01/2015 09:00;24;NA;NA;NE;22,2;3;1,2
08/01/2015 12:00;19;NA;NA;E;29,7;3;0,9
08/01/2015 15:00;17;NA;NA;E;18,5;3;1
08/01/2015 18:00;23;28;NA;E;14,8;3;1,3
08/01/2015 21:00;31;NA;NA;ENE;11,1;3;2
09/01/2015 00:00;29;NA;NA;ENE;11,1;3;2
09/01/2015 03:00;33;NA;NA;NE;11,1;3;1
09/01/2015 06:00;34;NA;15,6;NE;11,1;3;1,8
09/01/2015 09:00;20;NA;NA;E;22,2;3;1,8
09/01/2015 12:00;14;NA;NA;E;33,4;3;1
09/01/2015 15:00;11;NA;NA;E;29,7;3;0,8
09/01/2015 18:00;14;27,6;NA;E;25,9;3;0,6
09/01/2015 21:00;16;NA;NA;E;22,2;5;0,6
10/01/2015 00:00;21;NA;NA;E;11,1;3;1,2
10/01/2015 03:00;26;NA;NA;NE;11,1;3;1,2
10/01/2015 06:00;29;NA;16;NE;11,1;3;2
10/01/2015 09:00;24;NA;NA;E;33,4;4;2
10/01/2015 12:00;13;NA;NA;E;37,1;4;2
10/01/2015 15:00;9;NA;NA;E;33,4;4;1
10/01/2015 18:00;13;29;NA;E;22,2;4;1,4
10/01/2015 21:00;18;NA;NA;E;14,8;3;1,8
11/01/2015 00:00;24;NA;NA;ENE;7,4;3;1,8
11/01/2015 03:00;21;NA;NA;ENE;18,5;3;1,8
11/01/2015 06:00;27;NA;16,6;E;14,8;3;1,8
11/01/2015 09:00;18;NA;NA;E;38,9;3;2
11/01/2015 12:00;14;NA;NA;E;29,7;3;1,8
11/01/2015 15:00;12;NA;NA;E;22,2;3;2,5
11/01/2015 18:00;13;28,6;NA;E;22,2;3;2,5
11/01/2015 21:00;23;NA;NA;ENE;11,1;7;3,5
12/01/2015 00:00;22;NA;NA;E;14,8;3;3
12/01/2015 03:00;27;NA;NA;E;22,2;3;3
12/01/2015 06:00;26;NA;16,8;E;25,9;3;3
12/01/2015 09:00;24;NA;NA;E;29,7;3;2,5
12/01/2015 12:00;19;NA;NA;E;22,2;3;2,5
12/01/2015 15:00;15;NA;NA;E;25,9;2;2,8
12/01/2015 18:00;18;27,5;NA;ENE;22,2;2;4
12/01/2015 21:00;31;NA;NA;ENE;7,4;2;4
13/01/2015 00:00;28;NA;NA;E;11,1;2;4
13/01/2015 03:00;34;NA;NA;E;7,4;2;4
13/01/2015 06:00;36;NA;13,5;ENE;11,1;2;4
13/01/2015 09:00;22;NA;NA;E;35,2;2;4
13/01/2015 12:00;15;NA;NA;E;25,9;5;4,5
13/01/2015 15:00;15;NA;NA;E;22,2;5;5
13/01/2015 18:00;17;27;NA;E;22,2;5;6
13/01/2015 21:00;23;NA;NA;E;14,8;5;6
14/01/2015 00:00;28;NA;NA;ENE;11,1;4;6
14/01/2015 03:00;34;NA;NA;ENE;11,1;2;6
14/01/2015 06:00;35;NA;14,5;ENE;11,1;5;10
14/01/2015 09:00;23;NA;NA;E;25,9;3;10
14/01/2015 12:00;18;NA;NA;E;25,9;5;12
14/01/2015 15:00;14;NA;NA;E;18,5;7;12
14/01/2015 18:00;20;29;NA;E;18,5;5;8
14/01/2015 21:00;28;NA;NA;NE;111,2;5;8
15/01/2015 00:00;31;NA;NA;NE;11,1;5;8
15/01/2015 03:00;32;NA;NA;NE;14,8;5;8
15/01/2015 06:00;35;NA;16,8;NE;14,8;5;6
15/01/2015 09:00;28;NA;NA;E;25,9;5;4,5
15/01/2015 12:00;19;NA;NA;E;22,2;5;4
15/01/2015 15:00;16;NA;NA;E;22,2;7;4,5
15/01/2015 18:00;19;30,4;NA;ENE;14,8;7;4
15/01/2015 21:00;26;NA;NA;E;11,1;5;2,5
16/01/2015 00:00;31;NA;NA;ENE;11,1;5;6
16/01/2015 03:00;37;NA;NA;NE;11,1;5;6
16/01/2015 06:00;34;NA;15,6;ENE;11,1;5;4,5
16/01/2015 09:00;20;NA;NA;E;29,7;3;3
16/01/2015 12:00;16;NA;NA;E;29,7;3;2,8
16/01/2015 15:00;13;NA;NA;E;22,2;3;6
16/01/2015 18:00;15;30,6;NA;ENE;11,1;3;5
16/01/2015 21:00;31;NA;NA;NNE;7,4;3;5
17/01/2015 00:00;26;NA;NA;NE;11,1;3;6
17/01/2015 03:00;27;NA;NA;ENE;7,4;3;5
17/01/2015 06:00;31;NA;15,4;E;7,4;3;4
17/01/2015 09:00;13;NA;NA;E;22,2;3;3
17/01/2015 12:00;18;NA;NA;E;14,8;3;4
17/01/2015 15:00;9;NA;NA;E;7,4;3;4,2
17/01/2015 18:00;18;31,2;NA;ENE;7,4;3;4
17/01/2015 21:00;27;NA;NA;NNE;7,4;3;4
18/01/2015 00:00;31;NA;NA;E;7,4;3;6
18/01/2015 03:00;30;NA;NA;NE;11,1;2;6
18/01/2015 06:00;31;NA;14,6;N;11,1;2;6
18/01/2015 09:00;20;NA;NA;NE;3,7;2;4
18/01/2015 12:00;11;NA;NA;E;11,1;3;3,5
18/01/2015 15:00;10;NA;NA;NE;11,1;3;3,5
18/01/2015 18:00;16;31,6;NA;ENE;7,4;3;3,5
18/01/2015 21:00;31;NA;NA;NNE;7,4;3;4,5
19/01/2015 00:00;25;NA;NA;NNE;7,4;3;4,5
19/01/2015 03:00;26;NA;NA;NNE;7,4;3;4,5
19/01/2015 06:00;45;NA;16;E;3,7;3;4,5
19/01/2015 09:00;19;NA;NA;NE;11,1;2;2,5
19/01/2015 12:00;14;NA;NA;ENE;7,4;2;4,8
19/01/2015 15:00;14;NA;NA;ENE;7,4;3;5
19/01/2015 18:00;17;33;NA;W;7,4;3;4
19/01/2015 21:00;28;NA;NA;NNE;3,7;3;4
20/01/2015 03:00;37;NA;NA;N;11,1;3;5
20/01/2015 06:00;35;NA;16,8;CAL;0;5;4
20/01/2015 09:00;18;NA;NA;E;14,8;5;4,5
20/01/2015 12:00;14;NA;NA;N;7,4;5;5
20/01/2015 15:00;8;NA;NA;NNE;11,1;5;5
20/01/2015 18:00;18;34;NA;SW;7,4;5;4
20/01/2015 21:00;26;NA;NA;NNE;7,4;3;5
21/01/2015 00:00;22;NA;NA;NE;11,1;3;5
21/01/2015 03:00;31;NA;NA;CAL;0;2;6
21/01/2015 06:00;32;NA;17,5;N;7,4;3;6
21/01/2015 09:00;14;NA;NA;E;7,4;3;5
21/01/2015 12:00;9;NA;NA;ENE;14,8;3;6
21/01/2015 15:00;11;NA;NA;E;7,4;3;8
21/01/2015 18:00;19;36,5;NA;ENE;7,4;3;8
21/01/2015 21:00;28;NA;NA;NNE;11,1;3;6
22/01/2015 00:00;28;NA;NA;N;7,4;3;10
22/01/2015 03:00;33;NA;NA;N;7,4;3;10
22/01/2015 06:00;33;NA;19,2;N;7,4;3;8
22/01/2015 09:00;11;NA;NA;NNE;18,5;3;6
22/01/2015 12:00;9;NA;NA;NE;14,8;5;10
22/01/2015 15:00;10;NA;NA;NE;11,1;5;15
22/01/2015 18:00;13;36,8;NA;NNE;11,1;5;6
22/01/2015 21:00;20;NA;NA;N;7,4;3;10
23/01/2015 00:00;17;NA;NA;N;7,4;3;10
23/01/2015 03:00;22;NA;NA;N;7,4;3;10
23/01/2015 06:00;25;NA;19,4;N;11,1;5;10
23/01/2015 09:00;19;NA;NA;NE;7,4;5;10
