"","X","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","P0hPa","PseahPa","Precmm","Nt","HKm","InsoD1","Viskm"
"244",244,"2021-01-01 00:00:00",24.4,4.8,28,NA,NA,"NNW",7.4,986.2,1011,"0.0/6h",5,2.5,NA,10
"243",243,"2021-01-01 03:00:00",21.6,5.4,35,NA,NA,"NNW",7.4,984.7,1009.5,NA,5,2.5,NA,10
"242",242,"2021-01-01 06:00:00",19.5,4,36,NA,18.4,"NW",3.7,985.5,1010.6,"0.0/24h",5,2.5,10.8,10
"241",241,"2021-01-01 09:00:00",27.5,0.6,17,NA,NA,"E",7.4,987.2,1012.2,NA,5,2.5,NA,10
"240",240,"2021-01-01 12:00:00",34,-0.8,11,NA,NA,"NE",11.1,985.8,1010.6,"0.0/6h",5,2.5,NA,10
"239",239,"2021-01-01 15:00:00",35.4,-0.7,10,NA,NA,"NE",11.1,982.6,1007.3,NA,5,2.5,NA,15
"238",238,"2021-01-01 18:00:00",32,3.1,16,36,NA,"CAL",0,983.5,1009.3,"0.0/12h",5,2.5,NA,10
"237",237,"2021-01-01 21:00:00",27.6,3,21,NA,NA,"CAL",0,985.3,1010.2,NA,3,2.5,NA,10
"236",236,"2021-01-02 00:00:00",24.4,4.8,28,NA,NA,"CAL",0,985.2,1010,"0.0/6h",3,2.5,NA,10
"235",235,"2021-01-02 03:00:00",22.5,2.3,26,NA,NA,"NNE",7.4,983.7,1008.4,NA,3,2.5,NA,10
"234",234,"2021-01-02 06:00:00",20.4,4.6,35,NA,20,"CAL",0,984.5,1009.5,"0.0/24h",5,2.5,11.1,8
"233",233,"2021-01-02 09:00:00",27,-0.6,16,NA,NA,"CAL",0,986.1,1011,NA,3,2.5,NA,8
"232",232,"2021-01-02 12:00:00",35.5,-1.7,9,NA,NA,"E",7.4,984.8,1009.4,"0.0/6h",3,2.5,NA,12
"231",231,"2021-01-02 15:00:00",37,-3.7,7,NA,NA,"SSE",11.1,982.3,1006.9,NA,3,2.5,NA,15
"230",230,"2021-01-02 18:00:00",34.8,1.2,12,37.5,NA,"CAL",0,982.9,1007.7,"0.0/12h",3,2.5,NA,6
"229",229,"2021-01-02 21:00:00",28.5,4.6,22,NA,NA,"CAL",0,984.8,1009.6,NA,3,2.5,NA,10
"228",228,"2021-01-03 00:00:00",25,7.2,32,NA,NA,"CAL",0,984.4,1009,"0.0/6h",3,2.5,NA,8
"227",227,"2021-01-03 03:00:00",22.4,NA,NA,NA,NA,"CAL",0,983.4,1008.1,NA,3,2.5,NA,8
"226",226,"2021-01-03 06:00:00",21,7.2,41,NA,20.8,"CAL",0,984.3,1009.1,"0.0/24h",3,2.5,11.3,8
"225",225,"2021-01-03 07:00:00",21,7.2,41,NA,20.8,"CAL",0,984.3,1009.1,"0.0/3h",3,2.5,11.3,8
"224",224,"2021-01-03 09:00:00",29.4,1.8,17,NA,NA,"E",11.1,985.8,1010.6,NA,3,2.5,NA,10
"223",223,"2021-01-03 12:00:00",36.6,-1.8,9,NA,NA,"ESE",14.8,984.2,1008.8,"0.0/6h",3,2.5,NA,10
"222",222,"2021-01-03 15:00:00",38,-2.4,8,NA,NA,"W",7.4,982.6,1007.2,NA,3,2.5,NA,12
"221",221,"2021-01-03 18:00:00",35,-2.6,9,38.8,NA,"N",3.7,983.7,1008.5,"0.0/12h",5,2.5,NA,6
"220",220,"2021-01-04 00:00:00",26,8.6,33,NA,NA,"NW",3.7,984.7,1009.3,"0.0/6h",5,2.5,NA,8
"219",219,"2021-01-04 06:00:00",21.4,6.8,39,NA,21,"NW",7.4,984.7,1009.5,"0.0/24h",5,2.5,10.7,6
"218",218,"2021-01-04 07:00:00",21.4,6.8,39,NA,21,"NW",7.4,984.7,1009.5,"0.0/3h",5,2.5,10.7,6
"217",217,"2021-01-04 09:00:00",27.6,2.2,19,NA,NA,"N",11.1,987.3,1012.1,NA,5,2.5,NA,6
"216",216,"2021-01-04 12:00:00",36,-1.6,9,NA,NA,"NE",11.1,984.7,1009.3,"0.0/6h",5,2.5,NA,10
"215",215,"2021-01-04 15:00:00",38.4,4,12,NA,NA,"E",7.4,981.8,1006.3,NA,3,2.5,NA,15
"214",214,"2021-01-04 18:00:00",34.4,4.9,16,38.7,NA,"E",7.4,982.9,1007.7,"0.0/12h",3,2.5,NA,10
"213",213,"2021-01-04 21:00:00",29.5,6.4,23,NA,NA,"NW",7.4,983.9,1008.6,NA,5,2.5,NA,10
"212",212,"2021-01-05 00:00:00",26.6,8.5,32,NA,NA,"CAL",0,984,1008.6,"0.0/6h",5,2.5,NA,8
"211",211,"2021-01-05 03:00:00",24,7,34,NA,NA,"NW",7.4,983.2,1007.7,NA,5,2.5,NA,10
"210",210,"2021-01-05 06:00:00",22.5,4.8,32,NA,21.6,"WNW",7.4,984.3,1009.1,"0.0/24h",5,2.5,10.9,8
"209",209,"2021-01-05 09:00:00",28.8,2.7,19,NA,NA,"NNE",18.5,986.6,1011.4,NA,6,2.5,NA,10
"208",208,"2021-01-05 12:00:00",36.4,2.1,12,NA,NA,"NE",14.8,984.7,1009.2,"0.0/6h",5,2.5,NA,15
"207",207,"2021-01-05 15:00:00",30.8,1.3,15,NA,NA,"NNE",14.8,982.4,1006.9,NA,5,2.5,NA,15
"206",206,"2021-01-05 18:00:00",35,4.1,15,39,NA,"CAL",0,983.3,1008,"0.0/12h",5,2.5,NA,10
"205",205,"2021-01-05 21:00:00",29,5.2,22,NA,NA,"CAL",0,984.5,1009.2,NA,5,2.5,NA,10
"204",204,"2021-01-06 00:00:00",25.6,6.3,29,NA,NA,"CAL",0,984.5,1009.1,"0.0/6h",5,2.5,NA,10
"203",203,"2021-01-06 03:00:00",23.5,5.9,32,NA,NA,"CAL",0,983.2,1007.7,NA,5,2.5,NA,10
"202",202,"2021-01-06 06:00:00",21.4,5.1,34,NA,21,"CAL",0,985.1,1009.9,"0.0/24h",5,2.5,10.9,8
"201",201,"2021-01-06 09:00:00",28.5,4.5,22,NA,NA,"NE",7.4,986.7,1011.5,NA,3,2.5,NA,10
"200",200,"2021-01-06 12:00:00",36.6,-1.8,9,NA,NA,"ENE",25.9,985.1,1009.7,"0.0/6h",3,2.5,NA,10
"199",199,"2021-01-06 15:00:00",38.5,-1.4,8,NA,NA,"E",18.5,983.3,1007.8,NA,3,2.5,NA,10
"198",198,"2021-01-06 18:00:00",35,2,13,38.6,NA,"E",18.5,984.3,1009.1,"0.0/12h",3,2.5,NA,10
"197",197,"2021-01-06 21:00:00",29,3.8,20,NA,NA,"CAL",0,985.9,1010.7,NA,3,2.5,NA,10
"196",196,"2021-01-07 00:00:00",25,4,26,NA,NA,"CAL",0,985.5,1010.1,"0.0/6h",3,2.5,NA,10
"195",195,"2021-01-07 03:00:00",22.8,1.1,24,NA,NA,"CAL",0,984.6,1009.2,NA,3,2.5,NA,10
"194",194,"2021-01-07 06:00:00",21.5,2.4,28,NA,21.4,"CAL",0,986.1,1010.9,"0.0/24h",3,2.5,11,10
"193",193,"2021-01-07 09:00:00",27.5,0.5,17,NA,NA,"N",14.8,987.5,1012.4,NA,3,2.5,NA,10
"192",192,"2021-01-07 12:00:00",36,-1.1,9,NA,NA,"NNE",18.5,985.7,1010.3,"0.0/6h",3,2.5,NA,10
"191",191,"2021-01-07 21:00:00",29.5,3.8,19,NA,NA,"NNE",11.1,986.2,1011,NA,3,2.5,NA,10
"190",190,"2021-01-08 00:00:00",25.2,3,24,NA,NA,"NNW",3.7,985.8,1010.4,"0.0/6h",3,2.5,NA,10
"189",189,"2021-01-08 03:00:00",23.8,1.2,23,NA,NA,"N",11.1,984.8,1008.4,NA,3,2.5,NA,10
"188",188,"2021-01-08 06:00:00",23,4.2,29,NA,20.4,"N",11.1,985.6,1010.4,"0.0/24h",3,2.5,10.6,10
